시도,시군구,면적_km2,IC수,IC밀도_per1000km2,최근접무역항,항만거리_km,산업용전력_2024_kWh,산업용전력_2023_kWh,평균급여_만원,lat,lng
전북,부안군,497.86,2.0,4.017,군산항,35.1,122286557.0,123780527,3309.9,35.67761,126.64216
전북,순창군,499.95,3.0,6.001,군산항,69.5,80428841.0,87038517,3490.9,35.43362,127.09007
전북,완주군,822.41,7.0,8.512,군산항,44.4,1190041903.0,1156734298,3874.7,35.91877,127.21522
전북,익산시,507.51,2.0,3.941,군산항,23.8,1698755593.0,1759454864,3708.2,36.02317,126.98949
전북,임실군,596.59,2.0,3.352,군산항,62.9,87736568.0,100210442,3395.3,35.59824,127.23665
전북,장수군,531.91,1.0,1.88,군산항,82.1,36766195.0,37636632,3419.9,35.65757,127.54437
전북,전주시,205.43,3.0,14.604,군산항,39.0,1686512994.0,1753978875,4107.8,35.82823,127.1158
전북,정읍시,697.84,5.0,7.165,군산항,45.5,826455216.0,956180963,3430.9,35.60266,126.90589
전북,진안군,789.09,1.0,1.267,군산항,65.5,38897738.0,38045258,3506.4,35.82888,127.43007
제주,서귀포시,881.14,0.0,0.0,서귀포항,9.8,192213304.0,193130964,3771.3,33.32434,126.58113
제주,제주시,981.77,0.0,0.0,제주항,8.2,493248252.0,494704734,3649.5,33.44294,126.52929
충남,계룡시,60.68,0.0,0.0,군산항,56.8,60929507.0,57477262,4655.1,36.29168,127.23446
충남,공주시,864.1,4.0,4.629,보령항,52.7,468475503.0,478323930,3541.1,36.4799,127.07505
충남,금산군,576.57,2.0,3.469,군산항,69.0,663369107.0,666455127,3451.5,36.11902,127.47835
충남,논산시,553.96,2.0,3.61,군산항,44.8,600044800.0,608327573,3454.2,36.19094,127.15776
충남,당진시,708.85,4.0,5.643,평택당진항,16.8,5605732454.0,6004165854,4656.2,36.9045,126.65213
충남,보령시,583.8,3.0,5.139,보령항,15.7,769473417.0,718739676,3762.0,36.33983,126.59052
충남,부여군,623.99,2.0,3.205,군산항,31.2,136882027.0,147621766,3356.4,36.24638,126.85695
충남,서산시,742.51,2.0,2.694,대산항,24.7,8733011008.0,8795638099,4802.3,36.78473,126.4632
충남,서천군,367.29,3.0,8.168,장항항,13.2,717098759.0,684058595,3520.5,36.10679,126.70373
충남,아산시,543.17,2.0,3.682,평택당진항,32.7,11398213603.0,11207876467,4754.4,36.80737,126.98005
충남,예산군,543.51,3.0,5.52,보령항,35.9,816511495.0,803145915,3661.2,36.67061,126.78422
충남,천안시,636.69,4.0,6.282,평택당진항,47.9,5683279643.0,5427342623,4462.5,36.80407,127.20256
충남,청양군,479.55,1.0,2.085,보령항,32.9,134446107.0,130917383,3476.0,36.43056,126.85303
충남,태안군,534.61,0.0,0.0,태안항,22.6,447516995.0,391121687,3839.1,36.7074,126.27918
충남,홍성군,443.19,1.0,2.256,보령항,17.9,352417022.0,341238406,3895.2,36.57006,126.62568
충북,괴산군,841.77,2.0,2.376,평택당진항,100.6,241701763.0,251567476,3519.9,36.7697,127.82956
충북,단양군,779.96,2.0,2.564,삼척항,86.2,1480861472.0,1721494755,3710.3,36.99451,128.38788
충북,보은군,583.93,4.0,6.85,군산항,105.8,171629023.0,171914366,3488.3,36.48996,127.72935
충북,영동군,852.51,2.0,2.346,군산항,99.5,160658488.0,161833788,3552.8,36.15968,127.81428
충북,옥천군,541.47,2.0,3.694,군산항,91.3,352122840.0,348222518,3492.7,36.32044,127.6566
충북,음성군,519.22,4.0,7.704,평택당진항,77.2,2555737368.0,2592819902,3618.7,36.97625,127.6142
충북,제천시,882.0,2.0,2.268,삼척항,101.8,905937676.0,928577551,3712.0,37.06004,128.14086
충북,증평군,81.66,0.0,0.0,평택당진항,81.1,343765238.0,355469745,3781.4,36.78656,127.60461
충북,진천군,408.03,2.0,4.902,평택당진항,64.2,2430040505.0,2353375879,3954.5,36.87101,127.44044
충북,청주시,939.6,7.0,7.45,평택당진항,80.8,7925186601.0,9820940769,4395.7,36.62728,127.49877
충북,충주시,981.39,5.0,5.095,평택당진항,102.0,1646055380.0,1595330949,3915.3,37.01522,127.89555
