시도,시군구,code,면적_km2,lat,lng,IC수,IC밀도_per1000km2,최근접무역항,항만거리_km
경기,의정부시,31030,81.87,37.73623,127.06844,0,0.0,서울항,25.9
경기,안양시만안구,31041,36.5,37.40407,126.91133,2,54.795,서울항,14.1
경기,안양시동안구,31042,21.96,37.40032,126.95541,1,45.537,서울항,14.6
경기,부천시,31050,53.76,37.50423,126.78875,3,55.804,서울항,13.0
경기,광명시,31060,38.48,37.44515,126.86472,1,25.988,서울항,11.2
경기,평택시,31070,458.41,37.01544,126.99346,5,10.907,평택당진항,22.0
경기,동두천시,31080,95.94,37.91654,127.07793,0,0.0,서울항,44.8
경기,안산시상록구,31091,58.42,37.31574,126.8706,2,34.235,서울항,24.5
경기,안산시단원구,31092,113.67,37.27794,126.68325,2,17.595,평택당진항,27.6
경기,고양시덕양구,31101,165.04,37.65575,126.8786,2,12.118,서울항,14.7
경기,고양시일산동구,31103,59.9,37.67978,126.79729,0,0.0,경인항,20.4
경기,고양시일산서구,31104,41.27,37.68031,126.72782,0,0.0,경인항,16.1
경기,과천시,31110,35.75,37.4339,127.00272,0,0.0,서울항,12.4
경기,구리시,31120,33.21,37.59922,127.13122,7,210.78,서울항,19.2
경기,남양주시,31130,459.46,37.66254,127.24363,6,13.059,서울항,31.1
경기,오산시,31140,42.6,37.16328,127.05119,2,46.948,평택당진항,30.5
경기,시흥시,31150,141.52,37.38612,126.78364,3,21.198,서울항,20.7
경기,군포시,31160,36.32,37.34347,126.92118,5,137.665,서울항,20.8
경기,의왕시,31170,53.92,37.36231,126.98953,2,37.092,서울항,19.4
경기,하남시,31180,92.83,37.5228,127.20592,6,64.634,서울항,24.2
경기,용인시처인구,31191,467.27,37.20335,127.25288,6,12.841,서울항,46.1
경기,용인시기흥구,31192,81.95,37.26746,127.12134,3,36.608,서울항,33.7
경기,용인시수지구,31193,42.21,37.33347,127.0715,0,0.0,서울항,25.1
경기,파주시,31200,688.75,37.85554,126.80958,1,1.452,경인항,36.5
경기,이천시,31210,461.72,37.20985,127.4809,5,10.829,서울항,60.2
경기,안성시,31220,553.31,37.03502,127.30282,7,12.651,평택당진항,49.3
경기,김포시,31230,278.39,37.68164,126.62628,1,3.592,경인항,13.0
경기,화성시,31240,713.26,37.16383,126.85926,8,11.216,평택당진항,17.4
경기,광주시,31250,429.67,37.40307,127.30116,5,11.637,서울항,35.5
